Store,Date,UPC,Description,Category,Units,Price,Sales,Promotion
S001,2026-01-15,490123456789,Organic Whole Milk,Dairy,2,4.99,9.98,No
S001,2026-01-15,490123456790,Sourdough Bread,Bakery,1,5.49,5.49,No
S001,2026-01-15,490123456791,Bananas Bunch,Produce,3,0.59,1.77,No
S002,2026-01-15,490123456792,Chicken Breast 1lb,Meat,2,6.99,13.98,No
S002,2026-01-16,490123456793,Greek Yogurt 32oz,Dairy,1,6.49,6.49,Yes
S002,2026-01-16,490123456794,Cheddar Cheese Block,Dairy,1,7.99,7.99,No
S003,2026-01-16,490123456795,Sparkling Water 12pk,Beverages,2,4.99,9.98,No
S003,2026-01-17,490123456796,Paper Towels 6pk,Household,1,8.99,8.99,Yes
S001,2026-01-17,490123456797,Organic Baby Spinach,Produce,1,3.99,3.99,No
S001,2026-01-18,490123456798,Ground Beef 80/20,Meat,3,4.99,14.97,No
