TransactionID,Date,StoreID,CustomerID,ProductID,Quantity,UnitPrice,Total,PaymentMethod
T1001,2026-02-01,S001,C5001,P100,2,15.99,31.98,Credit
T1002,2026-02-01,S001,C5002,P101,1,24.99,24.99,Cash
T1003,2026-02-01,S002,C5003,P102,3,8.49,25.47,Debit
T1004,2026-02-02,S002,C5004,P103,1,49.99,49.99,Credit
T1005,2026-02-02,S003,C5005,P104,2,12.99,25.98,Credit
T1006,2026-02-02,S003,C5006,P100,1,15.99,15.99,Cash
T1007,2026-02-03,S001,C5007,P105,4,6.99,27.96,Debit
T1008,2026-02-03,S001,C5008,P106,1,89.99,89.99,Credit
T1009,2026-02-03,S002,C5009,P102,2,8.49,16.98,Cash
T1010,2026-02-04,S002,C5010,P107,1,34.50,34.50,Credit
